央视频道,#genre#
CCTV1HD,http://112.17.40.140/PLTV/88888888/224/3221226527/index.m3u8
CCTV2HD,http://112.17.40.140/PLTV/88888888/224/3221226468/index.m3u8
CCTV3HD,http://112.17.40.140/PLTV/88888888/224/3221226431/index.m3u8
CCTV4HD,http://112.17.40.140/PLTV/88888888/224/3221226562/index.m3u8
CCTV5HD,http://112.17.40.6:80/PLTV/88888888/224/3221226400/index.m3u8
CCTV5+HD,http://112.17.40.6:80/PLTV/88888888/224/3221226166/index.m3u8
CCTV6HD,http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8
CCTV7HD,http://112.17.40.140/PLTV/88888888/224/3221226122/index.m3u8
CCTV8HD,http://112.17.40.140/PLTV/88888888/224/3221226330/index.m3u8
 CCTV9HD,http://112.17.40.140/PLTV/88888888/224/3221226561/index.m3u8
 CCTV10HD,http://112.17.40.140/PLTV/88888888/224/3221226472/index.m3u8 
CCTV11HD,http://112.17.40.140/PLTV/88888888/224/3221226219/index.m3u8
CCTV12HD,http://112.17.40.140/PLTV/88888888/224/3221226563/index.m3u8
CCTV13HD,http://112.17.40.140/PLTV/88888888/224/3221226193/index.m3u8
CCTV14HD,http://112.17.40.140/PLTV/88888888/224/3221226565/index.m3u8
CCTV15HD,http://112.17.40.140/PLTV/88888888/224/3221226112/index.m3u8
CCTV17HD,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8 
CETV1,http://112.17.40.140/PLTV/88888888/224/3221226132/index.m3u8
 CGTN,http://112.17.40.140/PLTV/88888888/224/3221226235/index.m3u8
CETV-3中国教育台,http://cctvalih5ca.v.myalicdn.com/cstv/cetv3_2/index.m3u8?_res_tag_=video
CETV-4中国教育台,http://cctvalih5ca.v.myalicdn.com/cstv/cetv4_2/index.m3u8?_res_tag_=video
CGTN-国际电视台,http://120.204.20.147/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8
CGTN-法语电视台,https://live.cgtn.com/1000f/prog_index.m3u8
CGTN-西语电视台,https://live.cgtn.com/1000e/prog_index.m3u8
CGTN-阿语电视台,https://live.cgtn.com/1000a/prog_index.m3u8
CGTN-俄语电视台,https://live.cgtn.com/1000r/prog_index.m3u8
CGTN-记录电视台,https://live.cgtn.com/1000d/prog_index.m3u8
共同战疫新闻发布会,https://hls.liveshow.bdstatic.com/live/stream_bduid_3041161111_3348291487-L1.m3u8
凤凰资讯HD,http://112.17.40.140/PLTV/88888888/224/3221226491/index.m3u8
凤凰中文HD,http://112.17.40.140/PLTV/88888888/224/3221226368/index.m3u8
江苏卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226567/index.m3u8
湖南卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226569/index.m3u8
东方卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226549/index.m3u8
深圳卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226543/index.m3u8
广东卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226408/index.m3u8
北京卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226545/index.m3u8
天津卫视HD,http://112.17.40.140/PLTV/88888888/224/3221226488/index.m3u8
东南卫视,http://112.17.40.140/PLTV/88888888/224/3221226134/index.m3u8
