央视频道,#genre#
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226247/index.m3u8#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227462/index.m3u8#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226220/index.m3u8#http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8
CCTV3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225634/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226251/index.m3u8
CCTV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221225719/index.m3u8#http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226146/index.m3u8#http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227166/index.m3u8
CCTV5+,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225706/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226253/index.m3u8#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227381/index.m3u8#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227480/index.m3u8 
CCTV6,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225632/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226148/index.m3u8 
CCTV7,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225644/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221225659/index.m3u8
CCTV8,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225631/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226150/index.m3u8#http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227667/index.m3u8#http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227204/index.m3u8 
CCTV9,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225646/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226348/index.m3u8
CCTV10,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225636/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226164/index.m3u8#http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227717/index.m3u8
CCTV11,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225628/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221225705/index.m3u8
CCTV12,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225637/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221225655/index.m3u8
CCTV13,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225638/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226263/index.m3u8
CCTV14,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225640/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226166/index.m3u8#http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227693/index.m3u8
CCTV15,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225641/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226234/index.m3u8
CCTV16,http://39.134.39.39/PLTV/88888888/224/3221226413/index.m3u8
CCTV17,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225909/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226407/index.m3u8
中国教育1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225917/index.m3u8?fmt=ts2hls#http://39.134.39.39/PLTV/88888888/224/3221225656/index.m3u8 
中国教育4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225937/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226279/index.m3u8
中国教育早教,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225513/index.m3u8?fmt=ts2hls
中央新影中学生,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225515/index.m3u8?fmt=ts2hls
中央新影老故事,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225517/index.m3u8?fmt=ts2hls#http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227043/index.m3u8
CETV-1,http://183.207.248.71/gitv/live1/G_CETV-1/G_CETV-1#http://39.134.39.39/PLTV/88888888/224/3221225656/index.m3u8
CETV-2,http://183.207.248.71/gitv/live1/G_CETV-1/G_CETV-2
CETV-3,http://183.207.248.71/gitv/live1/G_CETV-1/G_CETV-3
CETV-4,http://183.207.248.71/gitv/live1/G_CETV-1/G_CETV-4#http://39.134.39.39/PLTV/88888888/224/3221226279/index.m3u8
CGTN,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225747/index.m3u8
CGTN纪录,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225645/index.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225509/index.m3u8
纯享4K,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225786/index.m3u8 

各省卫视,#genre#
东南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225585/index.m3u8?fmt=ts2hls#http://39.134.39.39/PLTV/88888888/224/3221226182/index.m3u8#http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227670/index.m3u8 
东方卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225659/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226155/index.m3u8#http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227688/index.m3u8
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225674/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226161/index.m3u8
四川卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225487/index.m3u8?fmt=ts2hls 
天津卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225698/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226191/index.m3u8#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227382/index.m3u8
安徽卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225691/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226205/index.m3u8 
山东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225697/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226162/index.m3u8#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227258/index.m3u8#http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227697/index.m3u8 
广东卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225701/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226180/index.m3u8#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227445/index.m3u8#http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227673/index.m3u8
广西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226211/index.m3u8?fmt=ts2hls#http://39.134.39.39/PLTV/88888888/224/3221226319/index.m3u8 
江苏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225702/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226157/index.m3u8 
江西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225492/index.m3u8?fmt=ts2hls#http://39.134.39.39/PLTV/88888888/224/3221226305/index.m3u8#http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227738/index.m3u8
河北卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225610/index.m3u8?fmt=ts2hls
河南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225611/index.m3u8?fmt=ts2hls#http://39.134.39.39/PLTV/88888888/224/3221225653/index.m3u8 
浙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225703/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226144/index.m3u8#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227491/index.m3u8
海南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226212/index.m3u8?fmt=ts2hls 
深圳卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225700/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226199/index.m3u8#http://223.110.245.154/ott.js.chinamobile.com/PLTV/3/224/3221227677/index.m3u8 
湖北卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225699/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226159/index.m3u8 
湖南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225704/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226193/index.m3u8#http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227698/index.m3u8
贵州卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225483/index.m3u8?fmt=ts2hls#http://39.134.39.39/PLTV/88888888/224/3221225885/index.m3u8 
辽宁卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225696/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226209/index.m3u8#http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8 
重庆卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225692/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226280/index.m3u8#http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227729/index.m3u8 
黑龙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225690/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226142/index.m3u8#http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227323/index.m3u8  
云南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225664/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221225732/index.m3u8
内蒙古卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225667/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221225664/index.m3u8 
厦门卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226199/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221225689/index.m3u8
吉林卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225680/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221225660/index.m3u8 
宁夏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225726/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221225647/index.m3u8 
山西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225730/index.m3u8  
新疆卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225725/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221225704/index.m3u8   
海南卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225722/index.m3u8 
甘肃卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225724/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8 
西藏卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225723/index.m3u8 
陕西卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225729/index.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226284/index.m3u8 
